"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
16	0.902918283444198	4	4	"Churn"	"No"	0
17	0.934226158967663	4	4	"Churn"	"No"	0
18	0.905297256097561	4	4	"Churn"	"No"	0
19	0.919167486070141	4	4	"Churn"	"No"	0
20	0.911712207347637	4	4	"Churn"	"No"	0
21	0.915143275465384	4	4	"Churn"	"No"	0
22	0.913144841269841	4	4	"Churn"	"No"	0
23	0.934646729501807	4	4	"Churn"	"No"	0
24	0.907874648453194	4	4	"Churn"	"No"	0
25	0.890165912518854	4	4	"Churn"	"No"	0
26	0.897079152731327	4	4	"Churn"	"No"	0
27	0.924867270874672	4	4	"Churn"	"No"	0
28	0.91202187094238	4	4	"Churn"	"No"	0
29	0.941902691410805	4	4	"Churn"	"No"	0
30	0.913835967114656	4	4	"Churn"	"No"	0
1	0.910322656067337	5	5	"Churn"	"No"	0
2	0.912178883892781	5	5	"Churn"	"No"	0
3	0.914533704315438	5	5	"Churn"	"No"	0
4	0.895269695422835	5	5	"Churn"	"No"	0
5	0.92034209280303	5	5	"Churn"	"No"	0
6	0.922013683431953	5	5	"Churn"	"No"	0
7	0.929059167815937	5	5	"Churn"	"No"	0
8	0.937139119451462	5	5	"Churn"	"No"	0
9	0.916095870013223	5	5	"Churn"	"No"	0
10	0.935492031368581	5	5	"Churn"	"No"	0
11	0.952401447105788	5	5	"Churn"	"No"	0
12	0.937359132978468	5	5	"Churn"	"No"	0
13	0.934336134862029	5	5	"Churn"	"No"	0
14	0.940736832849732	5	5	"Churn"	"No"	0
15	0.923034881461329	5	5	"Churn"	"No"	0
16	0.929578343313373	5	5	"Churn"	"No"	0
17	0.911601448232868	5	5	"Churn"	"No"	0
18	0.909275199600798	5	5	"Churn"	"No"	0
19	0.934791585697629	5	5	"Churn"	"No"	0
20	0.907453842315369	5	5	"Churn"	"No"	0
21	0.9065224035699	5	5	"Churn"	"No"	0
22	0.902667977712226	5	5	"Churn"	"No"	0
23	0.948433552869	5	5	"Churn"	"No"	0
24	0.933040538185367	5	5	"Churn"	"No"	0
25	0.889092456118682	5	5	"Churn"	"No"	0
26	0.938522035198772	5	5	"Churn"	"No"	0
27	0.879459659070604	5	5	"Churn"	"No"	0
28	0.918085106382979	5	5	"Churn"	"No"	0
29	0.937872745879945	5	5	"Churn"	"No"	0
30	0.91398885611275	5	5	"Churn"	"No"	0
1	0.856972001763668	6	6	"Churn"	"No"	0
2	0.938164033628973	6	6	"Churn"	"No"	0
3	0.928077651515152	6	6	"Churn"	"No"	0
4	0.94327524245557	6	6	"Churn"	"No"	0
5	0.92495381773399	6	6	"Churn"	"No"	0
6	0.921601853119723	6	6	"Churn"	"No"	0
7	0.941052576013514	6	6	"Churn"	"No"	0
8	0.942386267525939	6	6	"Churn"	"No"	0
9	0.922841628959276	6	6	"Churn"	"No"	0
10	0.938513846194792	6	6	"Churn"	"No"	0
11	0.927811450747831	6	6	"Churn"	"No"	0
12	0.912684989429176	6	6	"Churn"	"No"	0
13	0.908973653646311	6	6	"Churn"	"No"	0
14	0.896198753169907	6	6	"Churn"	"No"	0
15	0.910337652511113	6	6	"Churn"	"No"	0
16	0.894933708173014	6	6	"Churn"	"No"	0
17	0.938701865439026	6	6	"Churn"	"No"	0
18	0.922301136363636	6	6	"Churn"	"No"	0
19	0.953367643266395	6	6	"Churn"	"No"	0
20	0.928308475378788	6	6	"Churn"	"No"	0
21	0.940725030888965	6	6	"Churn"	"No"	0
22	0.92309755489022	6	6	"Churn"	"No"	0
23	0.929826409109495	6	6	"Churn"	"No"	0
24	0.919685628742515	6	6	"Churn"	"No"	0
25	0.946627411740558	6	6	"Churn"	"No"	0
26	0.913413873291362	6	6	"Churn"	"No"	0
27	0.906981219211823	6	6	"Churn"	"No"	0
28	0.9304628293035	6	6	"Churn"	"No"	0
29	0.908814589665654	6	6	"Churn"	"No"	0
30	0.919155439121756	6	6	"Churn"	"No"	0
1	0.929154829545455	7	7	"Churn"	"No"	0
2	0.915524384469697	7	7	"Churn"	"No"	0
3	0.938948119275988	7	7	"Churn"	"No"	0
4	0.936546589584143	7	7	"Churn"	"No"	0
5	0.950862458815169	7	7	"Churn"	"No"	0
6	0.92547968215001	7	7	"Churn"	"No"	0
7	0.903540329017118	7	7	"Churn"	"No"	0
8	0.926635979401477	7	7	"Churn"	"No"	0
9	0.934679662398696	7	7	"Churn"	"No"	0
10	0.943789526941563	7	7	"Churn"	"No"	0
11	0.924491995073892	7	7	"Churn"	"No"	0
12	0.901919574050722	7	7	"Churn"	"No"	0
13	0.934597260007773	7	7	"Churn"	"No"	0
14	0.919124251497006	7	7	"Churn"	"No"	0
15	0.938720779791737	7	7	"Churn"	"No"	0
16	0.915474397590361	7	7	"Churn"	"No"	0
17	0.916998106060606	7	7	"Churn"	"No"	0
18	0.933432144075473	7	7	"Churn"	"No"	0
19	0.935109800065552	7	7	"Churn"	"No"	0
20	0.951616846995538	7	7	"Churn"	"No"	0
21	0.877619527166355	7	7	"Churn"	"No"	0
22	0.904356320059085	7	7	"Churn"	"No"	0
23	0.914463640016071	7	7	"Churn"	"No"	0
24	0.889458582834331	7	7	"Churn"	"No"	0
25	0.914645694752402	7	7	"Churn"	"No"	0
26	0.94658438101061	7	7	"Churn"	"No"	0
27	0.889359452519549	7	7	"Churn"	"No"	0
28	0.934138782069678	7	7	"Churn"	"No"	0
29	0.879083806818182	7	7	"Churn"	"No"	0
30	0.938127960851684	7	7	"Churn"	"No"	0
1	0.908496851885812	8	8	"Churn"	"No"	0
2	0.912009865924614	8	8	"Churn"	"No"	0
3	0.939430548465771	8	8	"Churn"	"No"	0
4	0.919525914021695	8	8	"Churn"	"No"	0
5	0.925828201126901	8	8	"Churn"	"No"	0
6	0.889500194696713	8	8	"Churn"	"No"	0
7	0.960016722408027	8	8	"Churn"	"No"	0
8	0.943897435897436	8	8	"Churn"	"No"	0
9	0.873177047839717	8	8	"Churn"	"No"	0
10	0.913296484686767	8	8	"Churn"	"No"	0
11	0.94070996978852	8	8	"Churn"	"No"	0
12	0.911492886192593	8	8	"Churn"	"No"	0
13	0.887945473439697	8	8	"Churn"	"No"	0
14	0.884670460112296	8	8	"Churn"	"No"	0
15	0.955580395757648	8	8	"Churn"	"No"	0
16	0.945556239737274	8	8	"Churn"	"No"	0
17	0.951850631973321	8	8	"Churn"	"No"	0
18	0.940153048317733	8	8	"Churn"	"No"	0
19	0.936587690631808	8	8	"Churn"	"No"	0
20	0.923798096716896	8	8	"Churn"	"No"	0
21	0.931553874176825	8	8	"Churn"	"No"	0
22	0.9413682957637	8	8	"Churn"	"No"	0
23	0.917697693377452	8	8	"Churn"	"No"	0
24	0.934014397759798	8	8	"Churn"	"No"	0
25	0.915210972697651	8	8	"Churn"	"No"	0
26	0.931936553030303	8	8	"Churn"	"No"	0
27	0.927894211576846	8	8	"Churn"	"No"	0
28	0.927279999058945	8	8	"Churn"	"No"	0
29	0.960754240346445	8	8	"Churn"	"No"	0
30	0.923303937629986	8	8	"Churn"	"No"	0
1	0.861171407185629	9	9	"Churn"	"No"	0
2	0.956496436133066	9	9	"Churn"	"No"	0
3	0.944727030149976	9	9	"Churn"	"No"	0
4	0.856144335406141	9	9	"Churn"	"No"	0
5	0.941220735785953	9	9	"Churn"	"No"	0
6	0.893576840567803	9	9	"Churn"	"No"	0
7	0.944641835336075	9	9	"Churn"	"No"	0
8	0.88585203466682	9	9	"Churn"	"No"	0
9	0.918692754040186	9	9	"Churn"	"No"	0
10	0.919784223062912	9	9	"Churn"	"No"	0
11	0.909957409688013	9	9	"Churn"	"No"	0
12	0.884238728750924	9	9	"Churn"	"No"	0
13	0.884974631701204	9	9	"Churn"	"No"	0
14	0.932430634844975	9	9	"Churn"	"No"	0
15	0.896249683784467	9	9	"Churn"	"No"	0
16	0.925380524481937	9	9	"Churn"	"No"	0
17	0.940485611284873	9	9	"Churn"	"No"	0
18	0.889012105517489	9	9	"Churn"	"No"	0
19	0.903928691315398	9	9	"Churn"	"No"	0
20	0.917696110622375	9	9	"Churn"	"No"	0
21	0.941939557101505	9	9	"Churn"	"No"	0
22	0.934510170680383	9	9	"Churn"	"No"	0
23	0.930949392014966	9	9	"Churn"	"No"	0
24	0.943310566492567	9	9	"Churn"	"No"	0
25	0.944681245366938	9	9	"Churn"	"No"	0
26	0.918219927937916	9	9	"Churn"	"No"	0
27	0.911549609810479	9	9	"Churn"	"No"	0
28	0.950543323379633	9	9	"Churn"	"No"	0
29	0.894942312384538	9	9	"Churn"	"No"	0
30	0.947588871924444	9	9	"Churn"	"No"	0
1	0.904265742171308	10	10	"Churn"	"No"	0
2	0.952131544114291	10	10	"Churn"	"No"	0
3	0.910909783813747	10	10	"Churn"	"No"	0
4	0.938413634873812	10	10	"Churn"	"No"	0
5	0.898786695075758	10	10	"Churn"	"No"	0
6	0.910660633484163	10	10	"Churn"	"No"	0
7	0.940395273449754	10	10	"Churn"	"No"	0
8	0.936473717450447	10	10	"Churn"	"No"	0
9	0.930697090533156	10	10	"Churn"	"No"	0
10	0.924559123591139	10	10	"Churn"	"No"	0
11	0.902449476723205	10	10	"Churn"	"No"	0
12	0.904545296106522	10	10	"Churn"	"No"	0
13	0.904692184340793	10	10	"Churn"	"No"	0
14	0.907368328497318	10	10	"Churn"	"No"	0
15	0.906953812915301	10	10	"Churn"	"No"	0
16	0.910827510351967	10	10	"Churn"	"No"	0
17	0.892708333333333	10	10	"Churn"	"No"	0
18	0.885782706023218	10	10	"Churn"	"No"	0
19	0.920253988172006	10	10	"Churn"	"No"	0
20	0.879883322506273	10	10	"Churn"	"No"	0
21	0.933813192048056	10	10	"Churn"	"No"	0
22	0.929298574793405	10	10	"Churn"	"No"	0
23	0.895803304465913	10	10	"Churn"	"No"	0
24	0.912466280204328	10	10	"Churn"	"No"	0
25	0.95520676434342	10	10	"Churn"	"No"	0
26	0.911925835002261	10	10	"Churn"	"No"	0
27	0.913912135223611	10	10	"Churn"	"No"	0
28	0.92039514698125	10	10	"Churn"	"No"	0
29	0.932809212064531	10	10	"Churn"	"No"	0
30	0.912595851810791	10	10	"Churn"	"No"	0
1	0.930167872790824	11	11	"Churn"	"No"	0
2	0.87719632625347	11	11	"Churn"	"No"	0
3	0.899760966470702	11	11	"Churn"	"No"	0
4	0.920084996304508	11	11	"Churn"	"No"	0
5	0.92705486021196	11	11	"Churn"	"No"	0
6	0.916217608119481	11	11	"Churn"	"No"	0
7	0.918500935117249	11	11	"Churn"	"No"	0
8	0.938323353293413	11	11	"Churn"	"No"	0
9	0.888648200757576	11	11	"Churn"	"No"	0
10	0.91605923204959	11	11	"Churn"	"No"	0
11	0.903687329965021	11	11	"Churn"	"No"	0
12	0.908943089430894	11	11	"Churn"	"No"	0
13	0.934276531022212	11	11	"Churn"	"No"	0
14	0.901993052856588	11	11	"Churn"	"No"	0
15	0.920849492609067	11	11	"Churn"	"No"	0
16	0.891238017301847	11	11	"Churn"	"No"	0
17	0.909718063872256	11	11	"Churn"	"No"	0
18	0.916720615738743	11	11	"Churn"	"No"	0
19	0.90815868263473	11	11	"Churn"	"No"	0
20	0.91147374260355	11	11	"Churn"	"No"	0
21	0.933061371100164	11	11	"Churn"	"No"	0
22	0.932254875099765	11	11	"Churn"	"No"	0
23	0.90497130738523	11	11	"Churn"	"No"	0
24	0.928243371212121	11	11	"Churn"	"No"	0
25	0.923935102649489	11	11	"Churn"	"No"	0
26	0.896288741789819	11	11	"Churn"	"No"	0
27	0.920204567745551	11	11	"Churn"	"No"	0
28	0.882354342620939	11	11	"Churn"	"No"	0
29	0.917596817039322	11	11	"Churn"	"No"	0
30	0.921160392408084	11	11	"Churn"	"No"	0
1	0.915787175648703	12	12	"Churn"	"No"	0
2	0.89741641337386	12	12	"Churn"	"No"	0
3	0.892236003325942	12	12	"Churn"	"No"	0
4	0.856733801803796	12	12	"Churn"	"No"	0
5	0.920006104739895	12	12	"Churn"	"No"	0
6	0.841078021764477	12	12	"Churn"	"No"	0
7	0.901989147989357	12	12	"Churn"	"No"	0
8	0.875579490397016	12	12	"Churn"	"No"	0
9	0.884105875909155	12	12	"Churn"	"No"	0
10	0.889173182004039	12	12	"Churn"	"No"	0
11	0.85465747413156	12	12	"Churn"	"No"	0
12	0.911860795454545	12	12	"Churn"	"No"	0
13	0.894025699572483	12	12	"Churn"	"No"	0
14	0.885813037017895	12	12	"Churn"	"No"	0
15	0.900500746970619	12	12	"Churn"	"No"	0
16	0.885003885003885	12	12	"Churn"	"No"	0
17	0.907700179976709	12	12	"Churn"	"No"	0
18	0.889787328311918	12	12	"Churn"	"No"	0
19	0.904113956999323	12	12	"Churn"	"No"	0
20	0.903119505416596	12	12	"Churn"	"No"	0
21	0.891797163710274	12	12	"Churn"	"No"	0
22	0.915220979277462	12	12	"Churn"	"No"	0
23	0.893419715447154	12	12	"Churn"	"No"	0
24	0.894232170617956	12	12	"Churn"	"No"	0
25	0.901204115033902	12	12	"Churn"	"No"	0
26	0.91505418884573	12	12	"Churn"	"No"	0
27	0.91712204007286	12	12	"Churn"	"No"	0
28	0.914398085212683	12	12	"Churn"	"No"	0
29	0.91580547112462	12	12	"Churn"	"No"	0
30	0.918623541574361	12	12	"Churn"	"No"	0
1	0.868764229698963	13	13	"Churn"	"No"	0
2	0.899893524220033	13	13	"Churn"	"No"	0
3	0.886088744815086	13	13	"Churn"	"No"	0
4	0.89820393445616	13	13	"Churn"	"No"	0
5	0.900847457627119	13	13	"Churn"	"No"	0
6	0.882135076252723	13	13	"Churn"	"No"	0
7	0.882802332240096	13	13	"Churn"	"No"	0
8	0.889200962971455	13	13	"Churn"	"No"	0
9	0.907550982671175	13	13	"Churn"	"No"	0
