"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
3	0.628090659340659	8	8	"House"	"Yes"	0
4	NA	8	8	"House"	"Yes"	0
5	0.853909465020576	8	8	"House"	"Yes"	0
6	0.911522633744856	8	8	"House"	"Yes"	0
7	0.438957475994513	8	8	"House"	"Yes"	0
8	0.8559670781893	8	8	"House"	"Yes"	0
9	0.662190082644628	8	8	"House"	"Yes"	0
10	0.93758573388203	8	8	"House"	"Yes"	0
11	0.617835855112334	8	8	"House"	"Yes"	0
12	0.936899862825789	8	8	"House"	"Yes"	0
13	0.446502057613169	8	8	"House"	"Yes"	0
14	0.738651994497937	8	8	"House"	"Yes"	0
15	0.878777472527473	8	8	"House"	"Yes"	0
1	0.618065107748739	9	9	"House"	"Yes"	0
2	0.484203296703297	9	9	"House"	"Yes"	0
3	0.924793956043956	9	9	"House"	"Yes"	0
4	0.45679012345679	9	9	"House"	"Yes"	0
5	0.817493112947658	9	9	"House"	"Yes"	0
6	0.791838606143971	9	9	"House"	"Yes"	0
7	0.661931034482759	9	9	"House"	"Yes"	0
8	0.643034482758621	9	9	"House"	"Yes"	0
9	NA	9	9	"House"	"Yes"	0
10	0.434156378600823	9	9	"House"	"Yes"	0
11	NA	9	9	"House"	"Yes"	0
12	0.456730769230769	9	9	"House"	"Yes"	0
13	0.547176308539945	9	9	"House"	"Yes"	0
14	0.472565157750343	9	9	"House"	"Yes"	0
15	0.969050894085282	9	9	"House"	"Yes"	0
1	0.457988980716253	10	10	"House"	"Yes"	0
2	0.648760330578512	10	10	"House"	"Yes"	0
3	0.684752747252747	10	10	"House"	"Yes"	0
4	0.480769230769231	10	10	"House"	"Yes"	0
5	0.97599451303155	10	10	"House"	"Yes"	0
6	0.442994505494505	10	10	"House"	"Yes"	0
7	0.875857338820302	10	10	"House"	"Yes"	0
8	0.674107142857143	10	10	"House"	"Yes"	0
9	0.854595336076818	10	10	"House"	"Yes"	0
10	0.944444444444444	10	10	"House"	"Yes"	0
11	NA	10	10	"House"	"Yes"	0
12	0.696625344352617	10	10	"House"	"Yes"	0
13	0.452544704264099	10	10	"House"	"Yes"	0
14	0.707760989010989	10	10	"House"	"Yes"	0
15	0.680975274725275	10	10	"House"	"Yes"	0
1	0.476648351648352	11	11	"House"	"Yes"	0
2	0.788858321870701	11	11	"House"	"Yes"	0
3	0.627235213204952	11	11	"House"	"Yes"	0
4	0.429258241758242	11	11	"House"	"Yes"	0
5	0.761118752865658	11	11	"House"	"Yes"	0
6	0.679601648351648	11	11	"House"	"Yes"	0
7	NA	11	11	"House"	"Yes"	0
8	0.489697802197802	11	11	"House"	"Yes"	0
9	0.482806052269601	11	11	"House"	"Yes"	0
10	0.446428571428571	11	11	"House"	"Yes"	0
11	0.495873452544704	11	11	"House"	"Yes"	0
12	0.474587912087912	11	11	"House"	"Yes"	0
13	NA	11	11	"House"	"Yes"	0
14	0.462225274725275	11	11	"House"	"Yes"	0
15	0.991083676268861	11	11	"House"	"Yes"	0
1	0.444903581267218	12	12	"House"	"Yes"	0
2	0.444979367262724	12	12	"House"	"Yes"	0
3	NA	12	12	"House"	"Yes"	0
4	0.943072702331962	12	12	"House"	"Yes"	0
5	0.458046767537827	12	12	"House"	"Yes"	0
6	0.618752865657955	12	12	"House"	"Yes"	0
7	0.653828519027969	12	12	"House"	"Yes"	0
8	0.487654320987654	12	12	"House"	"Yes"	0
9	NA	12	12	"House"	"Yes"	0
10	0.484203296703297	12	12	"House"	"Yes"	0
11	0.495179063360882	12	12	"House"	"Yes"	0
12	0.497252747252747	12	12	"House"	"Yes"	0
13	0.482167352537723	12	12	"House"	"Yes"	0
14	0.582068965517241	12	12	"House"	"Yes"	0
15	0.496551724137931	12	12	"House"	"Yes"	0
1	0.572413793103448	13	13	"House"	"Yes"	0
2	0.457475994513032	13	13	"House"	"Yes"	0
3	0.449931412894376	13	13	"House"	"Yes"	0
4	0.49312242090784	13	13	"House"	"Yes"	0
5	0.478021978021978	13	13	"House"	"Yes"	0
6	0.497931034482759	13	13	"House"	"Yes"	0
7	0.495879120879121	13	13	"House"	"Yes"	0
8	0.487637362637363	13	13	"House"	"Yes"	0
9	0.487654320987654	13	13	"House"	"Yes"	0
10	0.925034387895461	13	13	"House"	"Yes"	0
11	0.493818681318681	13	13	"House"	"Yes"	0
12	0.458847736625514	13	13	"House"	"Yes"	0
13	0.939643347050754	13	13	"House"	"Yes"	0
14	NA	13	13	"House"	"Yes"	0
15	0.462809917355372	13	13	"House"	"Yes"	0
1	0.453983516483516	14	14	"House"	"Yes"	0
2	0.492424242424242	14	14	"House"	"Yes"	0
3	0.730716253443526	14	14	"House"	"Yes"	0
4	0.496565934065934	14	14	"House"	"Yes"	0
5	0.493801652892562	14	14	"House"	"Yes"	0
6	0.99519890260631	14	14	"House"	"Yes"	0
7	NA	14	14	"House"	"Yes"	0
8	0.473177441540578	14	14	"House"	"Yes"	0
9	0.497252747252747	14	14	"House"	"Yes"	0
10	0.583849862258953	14	14	"House"	"Yes"	0
11	0.486282578875171	14	14	"House"	"Yes"	0
12	0.497942386831276	14	14	"House"	"Yes"	0
13	0.632049518569464	14	14	"House"	"Yes"	0
14	0.497936726272352	14	14	"House"	"Yes"	0
15	0.488308115543329	14	14	"House"	"Yes"	0
1	0.494505494505495	15	15	"House"	"Yes"	0
2	0.481456043956044	15	15	"House"	"Yes"	0
3	0.498624484181568	15	15	"House"	"Yes"	0
4	0.483539094650206	15	15	"House"	"Yes"	0
5	0.49312242090784	15	15	"House"	"Yes"	0
6	0.491758241758242	15	15	"House"	"Yes"	0
7	0.495867768595041	15	15	"House"	"Yes"	0
8	0.499313186813187	15	15	"House"	"Yes"	0
9	0.49931129476584	15	15	"House"	"Yes"	0
10	0.494505494505495	15	15	"House"	"Yes"	0
11	0.469093406593407	15	15	"House"	"Yes"	0
12	0.732486263736264	15	15	"House"	"Yes"	0
13	0.495879120879121	15	15	"House"	"Yes"	0
14	0.499309392265193	15	15	"House"	"Yes"	0
15	0.724931318681319	15	15	"House"	"Yes"	0
1	0.681318681318681	1	1	"House"	"Yes"	0.7
2	0.5	0	1	"House"	"Yes"	0.7
3	0.5	0	1	"House"	"Yes"	0.7
4	0.5	0	1	"House"	"Yes"	0.7
5	0.5	0	1	"House"	"Yes"	0.7
6	0.591013296652911	1	1	"House"	"Yes"	0.7
7	0.928669410150892	1	1	"House"	"Yes"	0.7
8	0.0769230769230769	1	1	"House"	"Yes"	0.7
9	0.5	0	1	"House"	"Yes"	0.7
10	0.5	0	1	"House"	"Yes"	0.7
11	0.427097661623109	1	1	"House"	"Yes"	0.7
12	0.5	0	1	"House"	"Yes"	0.7
13	0.318681318681319	1	1	"House"	"Yes"	0.7
14	0.425240054869685	1	1	"House"	"Yes"	0.7
15	0.925925925925926	1	1	"House"	"Yes"	0.7
1	NA	2	2	"House"	"Yes"	0.7
2	0.436899862825789	2	2	"House"	"Yes"	0.7
3	0.599037138927098	2	2	"House"	"Yes"	0.7
4	0.576236263736264	2	2	"House"	"Yes"	0.7
5	0.497933884297521	2	2	"House"	"Yes"	0.7
6	0.765703805593764	2	2	"House"	"Yes"	0.7
7	0.0823045267489712	2	2	"House"	"Yes"	0.7
8	0.0747599451303155	2	2	"House"	"Yes"	0.7
9	0.650205761316872	2	2	"House"	"Yes"	0.7
10	0.49793956043956	2	2	"House"	"Yes"	0.7
11	0.591172413793103	2	2	"House"	"Yes"	0.7
12	0.576236263736264	2	2	"House"	"Yes"	0.7
13	0.445816186556927	2	2	"House"	"Yes"	0.7
14	0.761118752865658	2	2	"House"	"Yes"	0.7
15	NA	2	2	"House"	"Yes"	0.7
1	0.469509399358093	3	3	"House"	"Yes"	0.7
2	0.518543956043956	3	3	"House"	"Yes"	0.7
3	0.699724517906336	3	3	"House"	"Yes"	0.7
4	0.541953232462173	3	3	"House"	"Yes"	0.7
5	0.73282967032967	3	3	"House"	"Yes"	0.7
6	NA	3	3	"House"	"Yes"	0.7
7	0.491746905089409	3	3	"House"	"Yes"	0.7
8	0.506172839506173	3	3	"House"	"Yes"	0.7
9	NA	3	3	"House"	"Yes"	0.7
10	0.56301652892562	3	3	"House"	"Yes"	0.7
11	0.507554945054945	3	3	"House"	"Yes"	0.7
12	0.441620879120879	3	3	"House"	"Yes"	0.7
13	0.398351648351648	3	3	"House"	"Yes"	0.7
14	0.729052197802198	3	3	"House"	"Yes"	0.7
15	0.517857142857143	3	3	"House"	"Yes"	0.7
1	NA	4	4	"House"	"Yes"	0.7
2	0.679601648351648	4	4	"House"	"Yes"	0.7
3	0.657496561210454	4	4	"House"	"Yes"	0.7
4	0.498626373626374	4	4	"House"	"Yes"	0.7
5	0.564471879286694	4	4	"House"	"Yes"	0.7
6	0.582644628099174	4	4	"House"	"Yes"	0.7
7	0.226337448559671	4	4	"House"	"Yes"	0.7
8	0.46551724137931	4	4	"House"	"Yes"	0.7
9	0.68019257221458	4	4	"House"	"Yes"	0.7
10	0.553546831955923	4	4	"House"	"Yes"	0.7
11	0.602206896551724	4	4	"House"	"Yes"	0.7
12	0.925925925925926	4	4	"House"	"Yes"	0.7
13	NA	4	4	"House"	"Yes"	0.7
14	0.709821428571429	4	4	"House"	"Yes"	0.7
15	0.726239669421488	4	4	"House"	"Yes"	0.7
1	0.696551724137931	5	5	"House"	"Yes"	0.7
2	0.61448275862069	5	5	"House"	"Yes"	0.7
3	0.522210743801653	5	5	"House"	"Yes"	0.7
4	0.526442307692308	5	5	"House"	"Yes"	0.7
5	0.662551440329218	5	5	"House"	"Yes"	0.7
6	0.525377229080933	5	5	"House"	"Yes"	0.7
7	0.450892857142857	5	5	"House"	"Yes"	0.7
8	0.432828977533242	5	5	"House"	"Yes"	0.7
9	0.671016483516483	5	5	"House"	"Yes"	0.7
10	0.468449931412894	5	5	"House"	"Yes"	0.7
11	0.550103305785124	5	5	"House"	"Yes"	0.7
12	0.68870523415978	5	5	"House"	"Yes"	0.7
13	0.671467764060357	5	5	"House"	"Yes"	0.7
14	0.544704264099037	5	5	"House"	"Yes"	0.7
15	0.504120879120879	5	5	"House"	"Yes"	0.7
1	0.640990371389271	6	6	"House"	"Yes"	0.7
2	0.660812672176309	6	6	"House"	"Yes"	0.7
3	0.321641448876662	6	6	"House"	"Yes"	0.7
4	0.833104080696928	6	6	"House"	"Yes"	0.7
5	0.9375	6	6	"House"	"Yes"	0.7
6	0.690738193489225	6	6	"House"	"Yes"	0.7
7	0.907381934892251	6	6	"House"	"Yes"	0.7
8	0.422733516483516	6	6	"House"	"Yes"	0.7
9	NA	6	6	"House"	"Yes"	0.7
10	0.534158642824393	6	6	"House"	"Yes"	0.7
11	0.621399176954732	6	6	"House"	"Yes"	0.7
12	0.165521978021978	6	6	"House"	"Yes"	0.7
13	0.681109582760202	6	6	"House"	"Yes"	0.7
14	0.415461432506887	6	6	"House"	"Yes"	0.7
15	0.92032967032967	6	6	"House"	"Yes"	0.7
1	0.535310344827586	7	7	"House"	"Yes"	0.7
2	NA	7	7	"House"	"Yes"	0.7
3	0.816287878787879	7	7	"House"	"Yes"	0.7
4	0.413223140495868	7	7	"House"	"Yes"	0.7
5	0.576131687242798	7	7	"House"	"Yes"	0.7
6	0.732462173314993	7	7	"House"	"Yes"	0.7
7	0.133744855967078	7	7	"House"	"Yes"	0.7
8	0.61898211829436	7	7	"House"	"Yes"	0.7
9	0.655692729766804	7	7	"House"	"Yes"	0.7
10	0.789491758241758	7	7	"House"	"Yes"	0.7
11	0.502521779000458	7	7	"House"	"Yes"	0.7
12	0.65728021978022	7	7	"House"	"Yes"	0.7
13	0.66162310866575	7	7	"House"	"Yes"	0.7
14	0.431318681318681	7	7	"House"	"Yes"	0.7
15	0.481655172413793	7	7	"House"	"Yes"	0.7
1	0.815451627693718	8	8	"House"	"Yes"	0.7
2	0.576101928374656	8	8	"House"	"Yes"	0.7
3	0.430288461538462	8	8	"House"	"Yes"	0.7
4	0.742896551724138	8	8	"House"	"Yes"	0.7
5	0.718707015130674	8	8	"House"	"Yes"	0.7
6	0.433516735442458	8	8	"House"	"Yes"	0.7
7	0.56112258953168	8	8	"House"	"Yes"	0.7
8	0.505960568546538	8	8	"House"	"Yes"	0.7
9	0.554238292827504	8	8	"House"	"Yes"	0.7
10	0.442620689655172	8	8	"House"	"Yes"	0.7
11	0.387706043956044	8	8	"House"	"Yes"	0.7
12	NA	8	8	"House"	"Yes"	0.7
13	0.471497252747253	8	8	"House"	"Yes"	0.7
14	0.479367262723521	8	8	"House"	"Yes"	0.7
15	0.457300275482094	8	8	"House"	"Yes"	0.7
1	0.489026063100137	9	9	"House"	"Yes"	0.7
2	0.423763736263736	9	9	"House"	"Yes"	0.7
3	0.592032967032967	9	9	"House"	"Yes"	0.7
4	0.627922971114168	9	9	"House"	"Yes"	0.7
5	0.500687757909216	9	9	"House"	"Yes"	0.7
6	0.609353507565337	9	9	"House"	"Yes"	0.7
7	0.838620689655172	9	9	"House"	"Yes"	0.7
8	0.310408069692801	9	9	"House"	"Yes"	0.7
9	0.231086657496561	9	9	"House"	"Yes"	0.7
10	0.444024725274725	9	9	"House"	"Yes"	0.7
11	0.730452674897119	9	9	"House"	"Yes"	0.7
12	0.652949245541838	9	9	"House"	"Yes"	0.7
13	0.366563360881543	9	9	"House"	"Yes"	0.7
14	0.495867768595041	9	9	"House"	"Yes"	0.7
15	0.49610270518111	9	9	"House"	"Yes"	0.7
1	0.616758241758242	10	10	"House"	"Yes"	0.7
2	0.135802469135802	10	10	"House"	"Yes"	0.7
3	0.608367626886145	10	10	"House"	"Yes"	0.7
4	0.557379310344828	10	10	"House"	"Yes"	0.7
5	0.595123626373626	10	10	"House"	"Yes"	0.7
6	0.179012345679012	10	10	"House"	"Yes"	0.7
7	0.705639614855571	10	10	"House"	"Yes"	0.7
8	0.650826446280992	10	10	"House"	"Yes"	0.7
9	0.448489010989011	10	10	"House"	"Yes"	0.7
10	0.512913223140496	10	10	"House"	"Yes"	0.7
11	0.396148555708391	10	10	"House"	"Yes"	0.7
12	0.414944903581267	10	10	"House"	"Yes"	0.7
13	0.380681818181818	10	10	"House"	"Yes"	0.7
14	0.717032967032967	10	10	"House"	"Yes"	0.7
15	0.800480769230769	10	10	"House"	"Yes"	0.7
1	0.504120879120879	11	11	"House"	"Yes"	0.7
2	0.652263374485597	11	11	"House"	"Yes"	0.7
3	0.580467675378267	11	11	"House"	"Yes"	0.7
4	0.577953296703297	11	11	"House"	"Yes"	0.7
5	0.775103163686382	11	11	"House"	"Yes"	0.7
6	0.187242798353909	11	11	"House"	"Yes"	0.7
7	0.262688614540466	11	11	"House"	"Yes"	0.7
8	0.689300411522634	11	11	"House"	"Yes"	0.7
9	0.183379120879121	11	11	"House"	"Yes"	0.7
10	0.266117969821674	11	11	"House"	"Yes"	0.7
11	0.245541838134431	11	11	"House"	"Yes"	0.7
12	0.639807162534435	11	11	"House"	"Yes"	0.7
13	0.604395604395604	11	11	"House"	"Yes"	0.7
14	0.779876373626374	11	11	"House"	"Yes"	0.7
15	0.652949245541838	11	11	"House"	"Yes"	0.7
1	0.226337448559671	12	12	"House"	"Yes"	0.7
2	0.202331961591221	12	12	"House"	"Yes"	0.7
3	0.424242424242424	12	12	"House"	"Yes"	0.7
4	0.579550664832646	12	12	"House"	"Yes"	0.7
5	NA	12	12	"House"	"Yes"	0.7
6	0.733882030178326	12	12	"House"	"Yes"	0.7
7	0.43767217630854	12	12	"House"	"Yes"	0.7
8	0.558984910836763	12	12	"House"	"Yes"	0.7
9	0.512838147638698	12	12	"House"	"Yes"	0.7
10	0.221536351165981	12	12	"House"	"Yes"	0.7
11	0.222222222222222	12	12	"House"	"Yes"	0.7
12	0.601508916323731	12	12	"House"	"Yes"	0.7
13	0.436267767079321	12	12	"House"	"Yes"	0.7
14	0.603994490358127	12	12	"House"	"Yes"	0.7
15	0.415034482758621	12	12	"House"	"Yes"	0.7
1	NA	13	13	"House"	"Yes"	0.7
2	0.750342935528121	13	13	"House"	"Yes"	0.7
