"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.898986457184631	4	4	"Churn"	"Yes"	0.1
3	0.886276245889198	4	4	"Churn"	"Yes"	0.1
4	0.840863923310732	4	4	"Churn"	"Yes"	0.1
5	0.898999409245311	4	4	"Churn"	"Yes"	0.1
6	0.880244045470949	4	4	"Churn"	"Yes"	0.1
7	0.852819361277445	4	4	"Churn"	"Yes"	0.1
8	0.870114381742289	4	4	"Churn"	"Yes"	0.1
9	0.878996048850575	4	4	"Churn"	"Yes"	0.1
10	0.88988838612368	4	4	"Churn"	"Yes"	0.1
11	0.894459803762129	4	4	"Churn"	"Yes"	0.1
12	0.867194146673473	4	4	"Churn"	"Yes"	0.1
13	0.894730460088692	4	4	"Churn"	"Yes"	0.1
14	0.885866928875778	4	4	"Churn"	"Yes"	0.1
15	0.879842353706258	4	4	"Churn"	"Yes"	0.1
16	0.896310109408106	4	4	"Churn"	"Yes"	0.1
17	0.902120579090556	4	4	"Churn"	"Yes"	0.1
18	0.85967482748842	4	4	"Churn"	"Yes"	0.1
19	0.89539324883711	4	4	"Churn"	"Yes"	0.1
20	0.88783542039356	4	4	"Churn"	"Yes"	0.1
21	0.865306886227545	4	4	"Churn"	"Yes"	0.1
22	0.874402897066006	4	4	"Churn"	"Yes"	0.1
23	0.910588810228233	4	4	"Churn"	"Yes"	0.1
24	0.847149527914614	4	4	"Churn"	"Yes"	0.1
25	0.875796633590242	4	4	"Churn"	"Yes"	0.1
26	0.881889632107023	4	4	"Churn"	"Yes"	0.1
27	0.861188100517369	4	4	"Churn"	"Yes"	0.1
28	0.894777420219898	4	4	"Churn"	"Yes"	0.1
29	0.889331519626895	4	4	"Churn"	"Yes"	0.1
30	0.862927937447168	4	4	"Churn"	"Yes"	0.1
1	0.874754500818331	5	5	"Churn"	"Yes"	0.1
2	0.917291373835181	5	5	"Churn"	"Yes"	0.1
3	0.922240609605911	5	5	"Churn"	"Yes"	0.1
4	0.891371937055523	5	5	"Churn"	"Yes"	0.1
5	0.907194363082425	5	5	"Churn"	"Yes"	0.1
6	0.866953970291583	5	5	"Churn"	"Yes"	0.1
7	0.894245083002526	5	5	"Churn"	"Yes"	0.1
8	0.893748328174558	5	5	"Churn"	"Yes"	0.1
9	0.897440165298743	5	5	"Churn"	"Yes"	0.1
10	0.917260213814209	5	5	"Churn"	"Yes"	0.1
11	0.895659318088457	5	5	"Churn"	"Yes"	0.1
12	0.906332968920818	5	5	"Churn"	"Yes"	0.1
13	0.897244099433495	5	5	"Churn"	"Yes"	0.1
14	0.892284181636727	5	5	"Churn"	"Yes"	0.1
15	0.903447131079511	5	5	"Churn"	"Yes"	0.1
16	0.917216213839796	5	5	"Churn"	"Yes"	0.1
17	0.878936956634911	5	5	"Churn"	"Yes"	0.1
18	0.921370967741935	5	5	"Churn"	"Yes"	0.1
19	0.897103465722236	5	5	"Churn"	"Yes"	0.1
20	0.891249030078963	5	5	"Churn"	"Yes"	0.1
21	0.887825495530509	5	5	"Churn"	"Yes"	0.1
22	0.888708846767406	5	5	"Churn"	"Yes"	0.1
23	0.892641470144203	5	5	"Churn"	"Yes"	0.1
24	0.887107035928144	5	5	"Churn"	"Yes"	0.1
25	0.90064246506986	5	5	"Churn"	"Yes"	0.1
26	0.879813456097444	5	5	"Churn"	"Yes"	0.1
27	0.881362146307799	5	5	"Churn"	"Yes"	0.1
28	0.919262631795153	5	5	"Churn"	"Yes"	0.1
29	0.898216067864271	5	5	"Churn"	"Yes"	0.1
30	0.885191987602594	5	5	"Churn"	"Yes"	0.1
1	0.903148674242424	6	6	"Churn"	"Yes"	0.1
2	0.903461826347305	6	6	"Churn"	"Yes"	0.1
3	0.874925117672229	6	6	"Churn"	"Yes"	0.1
4	0.861252048508686	6	6	"Churn"	"Yes"	0.1
5	0.919843667577807	6	6	"Churn"	"Yes"	0.1
6	0.892693815987934	6	6	"Churn"	"Yes"	0.1
7	0.876499508357915	6	6	"Churn"	"Yes"	0.1
8	0.920084830339321	6	6	"Churn"	"Yes"	0.1
9	0.888888155114117	6	6	"Churn"	"Yes"	0.1
10	0.905642434488588	6	6	"Churn"	"Yes"	0.1
11	0.897540983606557	6	6	"Churn"	"Yes"	0.1
12	0.871418522565977	6	6	"Churn"	"Yes"	0.1
13	0.889227727018238	6	6	"Churn"	"Yes"	0.1
14	0.90925880180212	6	6	"Churn"	"Yes"	0.1
15	0.902420863486437	6	6	"Churn"	"Yes"	0.1
16	0.872413589015152	6	6	"Churn"	"Yes"	0.1
17	0.933453945749028	6	6	"Churn"	"Yes"	0.1
18	0.865093451820792	6	6	"Churn"	"Yes"	0.1
19	0.917465672348485	6	6	"Churn"	"Yes"	0.1
20	0.903599875058566	6	6	"Churn"	"Yes"	0.1
21	0.841705634790741	6	6	"Churn"	"Yes"	0.1
22	0.903459815098406	6	6	"Churn"	"Yes"	0.1
23	0.915387162813102	6	6	"Churn"	"Yes"	0.1
24	0.900943976763649	6	6	"Churn"	"Yes"	0.1
25	0.903624915948408	6	6	"Churn"	"Yes"	0.1
26	0.879243993669976	6	6	"Churn"	"Yes"	0.1
27	0.880272475369458	6	6	"Churn"	"Yes"	0.1
28	0.895933299302365	6	6	"Churn"	"Yes"	0.1
29	0.884077624503156	6	6	"Churn"	"Yes"	0.1
30	0.895345123557827	6	6	"Churn"	"Yes"	0.1
1	0.927366125236756	7	7	"Churn"	"Yes"	0.1
2	0.879928207897131	7	7	"Churn"	"Yes"	0.1
3	0.933834586466165	7	7	"Churn"	"Yes"	0.1
4	0.903371217570613	7	7	"Churn"	"Yes"	0.1
5	0.894604540918164	7	7	"Churn"	"Yes"	0.1
